# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
   2890.0000      5.172046   1
   2903.0000     -5.243160  -1
   2918.0000      5.279163   1
   2930.0000     -5.289881  -1
   2945.0000      5.258844   1
   2958.0000     -5.178158  -1
   2972.0000      5.119092   1
   2985.0000     -5.063979  -1
   2999.0000      5.002170   1
   3012.0000     -5.000331  -1
   3026.0000      5.009350   1
   3039.0000     -5.057542  -1
   3053.0000      5.112429   1
   3066.0000     -5.172198  -1
   3081.0000      5.253919   1
   3094.0000     -5.262630  -1
   3108.0000      5.278247   1
   3121.0000     -5.248863  -1
   3135.0000      5.170585   1
   3148.0000     -5.123371  -1
   3162.0000      5.026293   1
   3175.0000     -4.979926  -1
   3189.0000      4.963884   1
   3203.0000     -5.005977  -1
   3217.0000      5.040007   1
   3230.0000     -5.136677  -1
   3244.0000      5.200443   1
   3257.0000     -5.257260  -1
   3271.0000      5.285535   1
   3284.0000     -5.253603  -1
   3298.0000      5.208493   1
   3312.0000     -5.137917  -1
   3326.0000      5.056561   1
   3339.0000     -5.029869  -1
   3353.0000      4.969368   1
   3366.0000     -5.001878  -1
   3380.0000      5.017685   1
   3393.0000     -5.075013  -1
   3407.0000      5.161388   1
   3421.0000     -5.217404  -1
   3434.0000      5.271127   1
   3448.0000     -5.279376  -1
   3461.0000      5.246788   1
   3475.0000     -5.210119  -1
   3489.0000      5.128447   1
   3502.0000     -5.066249  -1
   3516.0000      5.016058   1
   3530.0000     -4.972633  -1
   3543.0000      4.993549   1
   3557.0000     -5.048146  -1
   3570.0000      5.096779   1
   3584.0000     -5.184791  -1
   3597.0000      5.240676   1
   3611.0000     -5.261095  -1
   3624.0000      5.283388   1
   3639.0000     -5.240011  -1
   3652.0000      5.190356   1
   3666.0000     -5.122462  -1
   3679.0000      5.059110   1
   3693.0000     -5.016126  -1
   3706.0000      4.996923   1
   3720.0000     -5.025991  -1
   3733.0000      5.073905   1
   3748.0000     -5.123516  -1
   3760.0000      5.212896   1
   3775.0000     -5.273947  -1
   3787.0000      5.277849   1
   3802.0000     -5.286360  -1
   3815.0000      5.244743   1
   3829.0000     -5.175711  -1
   3842.0000      5.128774   1
   3856.0000     -5.035760  -1
   3869.0000      5.015844   1
   3884.0000     -4.982915  -1
   3896.0000      5.013948   1
   3911.0000     -5.085974  -1
   3923.0000      5.121281   1
   3938.0000     -5.233375  -1
   3951.0000      5.257632   1
   3965.0000     -5.286225  -1
   3978.0000      5.296472   1
   3993.0000     -5.225989  -1
   4005.0000      5.182020   1
   4020.0000     -5.088820  -1
   4033.0000      5.011408   1
   4047.0000     -5.000670  -1
   4060.0000      5.002464   1
   4074.0000     -5.054830  -1
   4087.0000      5.112574   1
   4101.0000     -5.188978  -1
   4114.0000      5.248701   1
   4129.0000     -5.266155  -1
   4141.0000      5.287840   1
   4156.0000     -5.264083  -1
   4169.0000      5.192001   1
   4183.0000     -5.144687  -1
   4196.0000      5.089416   1
   4210.0000     -5.025787  -1
   4223.0000      5.012562   1
   4237.0000     -5.010051  -1
   4250.0000      5.038635   1
   4264.0000     -5.106500  -1
   4278.0000      5.149008   1
   4292.0000     -5.224327  -1
   4305.0000      5.273073   1
   4319.0000     -5.290700  -1
   4332.0000      5.267479   1
   4346.0000     -5.200019  -1
   4359.0000      5.132662   1
   4373.0000     -5.046732  -1
   4387.0000      4.978721   1
   4400.0000     -4.980530  -1
   4414.0000      5.020339   1
   4427.0000     -5.057734  -1
   4441.0000      5.151336   1
   4455.0000     -5.189451  -1
   4468.0000      5.256396   1
   4482.0000     -5.286684  -1
   4495.0000      5.238098   1
   4509.0000     -5.234129  -1
   4523.0000      5.163913   1
   4536.0000     -5.090488  -1
   4550.0000      5.053471   1
   4563.0000     -4.985874  -1
   4577.0000      5.006857   1
   4590.0000     -5.003382  -1
   4604.0000      5.055013   1
   4618.0000     -5.128221  -1
   4632.0000      5.218350   1
   4645.0000     -5.264994  -1
   4659.0000      5.295683   1
   4672.0000     -5.284759  -1
   4686.0000      5.230884   1
   4699.0000     -5.157545  -1
   4713.0000      5.074561   1
   4727.0000     -5.016674  -1
   4741.0000      4.986076   1
   4754.0000     -4.990252  -1
   4768.0000      5.059615   1
   4781.0000     -5.101261  -1
   4795.0000      5.198709   1
   4808.0000     -5.252396  -1
   4822.0000      5.264752   1
   4835.0000     -5.302359  -1
   4850.0000      5.257969   1
   4862.0000     -5.195263  -1
   4877.0000      5.142121   1
   4890.0000     -5.076599  -1
   4904.0000      5.034232   1
   4917.0000     -5.013099  -1
   4931.0000      5.027523   1
   4944.0000     -5.067190  -1
   4958.0000      5.111624   1
   4971.0000     -5.197139  -1
   4986.0000      5.263390   1
   4998.0000     -5.286636  -1
   5013.0000      5.303948   1
   5026.0000     -5.259067  -1
   5040.0000      5.202541   1
   5053.0000     -5.154714  -1
   5067.0000      5.049527   1
   5080.0000     -5.026006  -1
   5094.0000      4.975116   1
   5107.0000     -5.010570  -1
   5122.0000      5.076615   1
   5134.0000     -5.119172  -1
   5149.0000      5.237267   1
   5162.0000     -5.263795  -1
   5176.0000      5.296329   1
   5189.0000     -5.295078  -1
   5204.0000      5.217655   1
   5216.0000     -5.183026  -1
   5231.0000      5.091059   1
   5244.0000     -5.019181  -1
   5258.0000      5.003777   1
   5271.0000     -5.008434  -1
   5285.0000      5.040073   1
   5298.0000     -5.098740  -1
