# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
   3073.2824     95.203066  A
   3087.4101    275.133440  D
   3100.5767     95.149231  A
   3114.8352    275.143511  D
   3127.8224     95.057983  A
   3142.2255    274.516578  D
   3154.9624     93.877173  A
   3169.4516    272.468265  D
   3182.0219     91.324892  A
   3196.5101    269.506545  D
   3209.1200     88.346734  A
   3223.5493    267.017464  D
   3236.3592     86.382528  A
   3250.7415    265.961693  D
   3263.7069     85.891627  A
   3278.1127    265.980934  D
   3291.0346     85.975039  A
   3305.5238    265.648098  D
   3318.2222     85.162874  A
   3332.8138    263.859975  D
   3345.2703     82.787278  A
   3359.9173    260.871674  D
   3372.3321     79.694447  A
   3386.9511    258.142817  D
   3399.5486     77.423331  A
   3414.0813    256.801818  D
   3426.9048     76.631705  A
   3441.3533    256.643146  D
   3454.2878     76.686230  A
   3468.7009    256.603968  D
   3481.5638     76.347853  A
   3496.0153    255.614537  D
   3508.6821     74.776280  A
   3523.1975    253.243127  D
   3535.7125     72.028938  A
   3550.2642    250.265712  D
   3562.8235     69.245149  A
   3577.3348    248.107502  D
   3590.1310     67.708924  A
   3604.5197    247.417197  D
   3617.5727     67.442052  A
   3631.8159    247.503644  D
   3644.9764     67.381944  A
   3659.1211    246.974305  D
   3672.1931     66.188502  A
   3686.3177    244.856586  D
   3699.2263     63.518164  A
   3713.4004    241.740783  D
   3726.2754     60.541646  A
   3740.4804    239.240563  D
   3753.5146     58.680194  A
   3767.6517    238.242811  D
   3780.9250     58.213739  A
   3794.9064    238.259508  D
   3808.3694     58.256338  A
   3822.1716    238.115576  D
   3835.6910     57.562950  A
   3849.3713    236.790253  D
   3862.8274     55.590745  A
   3876.4853    234.196152  D
   3889.8523     52.777802  A
   3903.5728    231.355510  D
   3916.9528     50.380708  A
   3930.7229    229.568361  D
   3944.2586     49.318842  A
   3957.9605    229.179997  D
   3971.7173     49.229148  A
   3985.2249    229.283333  D
   3999.1670     48.968550  A
   4012.4227    228.464664  D
   4026.4221     47.272890  A
   4039.5199    226.042321  D
   4053.4692     44.320670  A
   4066.5964    222.889722  D
   4080.5008     41.557387  A
   4093.7634    220.653790  D
   4107.7097     40.167122  A
   4121.0303    219.976154  D
   4135.1032     40.022713  A
   4148.3151    220.066148  D
   4162.5397     39.920953  A
   4175.5272    219.671935  D
   4189.8760     38.809076  A
   4202.6382    217.982116  D
   4217.0308     36.431784  A
   4229.7053    215.204508  D
   4244.0639     33.595127  A
   4256.8390    212.532837  D
   4271.1487     31.585266  A
   4284.0996    211.112401  D
   4298.4056     30.921484  A
   4311.4327    210.917741  D
   4325.8102     30.949866  A
   4338.7168    210.894642  D
   4353.2215     30.396058  A
   4365.8608    209.741744  D
   4380.4696     28.230777  A
   4392.8949    207.027624  D
   4407.5304     25.056540  A
   4419.9841    203.899801  D
   4434.5659     22.525555  A
   4447.2524    201.965354  D
   4461.7440     21.546773  A
   4474.6314    201.504715  D
   4489.0740     21.581428  A
   4501.9805    201.562240  D
   4516.4374     21.313050  A
   4529.1948    200.869674  D
   4543.7153     19.784873  A
   4556.2658    198.816770  D
   4570.8504     17.091102  A
   4583.3143    195.952360  D
   4597.9040     14.344164  A
   4610.4902    193.547657  D
   4625.0079     12.721977  A
   4637.8338    192.468208  D
   4652.2352     12.394623  A
   4665.2598    192.446575  D
   4679.5542     12.442949  A
   4692.6029    192.209099  D
   4706.8589     11.570763  A
   4719.7545    190.665138  D
   4734.0405      9.118060  A
   4746.7668    187.755368  D
