# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
   3073.2720     96.354565  A
   3087.4014    276.285710  D
   3100.5663     96.301103  A
   3114.8264    276.293850  D
   3127.8119     96.207064  A
   3142.2166    275.663402  D
   3154.9516     95.021420  A
   3169.4421    273.611250  D
   3182.0108     92.465008  A
   3196.5002    270.647188  D
   3209.1092     89.486573  A
   3223.5394    268.158956  D
   3236.3491     87.524870  A
   3250.7320    267.104663  D
   3263.6971     87.035061  A
   3278.1035    267.123188  D
   3291.0243     87.115853  A
   3305.5145    266.788667  D
   3318.2117     86.300843  A
   3332.8038    264.995745  D
   3345.2597     83.921940  A
   3359.9068    262.004862  D
   3372.3219     80.828845  A
   3386.9406    259.277030  D
   3399.5391     78.560075  A
   3414.0713    257.938638  D
   3426.8956     77.769041  A
   3441.3436    257.781596  D
   3454.2785     77.823945  A
   3468.6911    257.740491  D
   3481.5542     77.483118  A
   3496.0054    256.746199  D
   3508.6723     75.908169  A
   3523.1872    254.373704  D
   3535.7029     73.159708  A
   3550.2537    251.397492  D
   3562.8144     70.377526  A
   3577.3246    249.242369  D
   3590.1223     68.844145  A
   3604.5097    248.554118  D
   3617.5644     68.579147  A
   3631.8060    248.639248  D
   3644.9678     68.515325  A
   3659.1112    248.106605  D
   3672.1840     67.319651  A
   3686.3075    245.987507  D
   3699.2172     64.648661  A
   3713.3902    242.873034  D
   3726.2668     61.674948  A
   3740.4704    240.376268  D
   3753.5068     59.817413  A
   3767.6421    239.380855  D
   3780.9174     59.350981  A
   3794.8968    239.396754  D
   3808.3617     59.393591  A
   3822.1619    239.250820  D
   3835.6831     58.697544  A
   3849.3616    237.923930  D
   3862.8192     56.723592  A
   3876.4757    235.330359  D
   3889.8443     53.912353  A
   3903.5635    232.492951  D
   3916.9453     51.518505  A
   3930.7139    230.709158  D
   3944.2517     50.460637  A
   3957.9517    230.321351  D
   3971.7106     50.370981  A
   3985.2161    230.423847  D
   3999.1601     50.107664  A
   4012.4138    229.603412  D
   4026.4149     48.411455  A
   4039.5112    227.181390  D
   4053.4620     45.461350  A
   4066.5882    224.032421  D
   4080.4940     42.702520  A
   4093.7557    221.800509  D
   4107.7034     41.315308  A
   4121.0227    221.124197  D
   4135.0972     41.170629  A
   4148.3076    221.214011  D
   4162.5336     41.068224  A
   4175.5196    220.818132  D
   4189.8696     39.954313  A
