# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
   2863.0000      5.050988   1
   2876.0000     -5.102865  -1
   2890.0000      5.175433   1
   2903.0000     -5.247426  -1
   2918.0000      5.284143   1
   2930.0000     -5.293476  -1
   2945.0000      5.263082   1
   2958.0000     -5.183496  -1
   2972.0000      5.122736   1
   2985.0000     -5.068183  -1
   2999.0000      5.005178   1
   3012.0000     -5.003284  -1
   3026.0000      5.011562   1
   3039.0000     -5.059457  -1
   3053.0000      5.113726   1
   3066.0000     -5.173368  -1
   3081.0000      5.256847   1
   3094.0000     -5.265996  -1
   3108.0000      5.280341   1
   3121.0000     -5.251494  -1
   3135.0000      5.171988   1
   3148.0000     -5.124941  -1
   3162.0000      5.027090   1
   3175.0000     -4.980124  -1
   3189.0000      4.964052   1
   3203.0000     -5.007907  -1
   3217.0000      5.041953   1
   3230.0000     -5.137470  -1
   3244.0000      5.201551   1
   3257.0000     -5.257273  -1
   3271.0000      5.285772   1
   3284.0000     -5.252950  -1
   3298.0000      5.207919   1
   3312.0000     -5.139378  -1
   3326.0000      5.057727   1
   3339.0000     -5.030091  -1
   3353.0000      4.969897   1
   3366.0000     -5.000618  -1
   3380.0000      5.017586   1
   3393.0000     -5.072471  -1
   3407.0000      5.160609   1
   3421.0000     -5.216907  -1
   3434.0000      5.269589   1
   3448.0000     -5.278167  -1
   3461.0000      5.244438   1
   3475.0000     -5.208231  -1
   3489.0000      5.127740   1
   3502.0000     -5.063448  -1
   3516.0000      5.014615   1
   3530.0000     -4.971659  -1
   3543.0000      4.991462   1
   3557.0000     -5.045768  -1
   3570.0000      5.094102   1
   3584.0000     -5.181179  -1
   3597.0000      5.237377   1
   3611.0000     -5.256641  -1
   3624.0000      5.279344   1
   3639.0000     -5.237656  -1
   3652.0000      5.187853   1
   3666.0000     -5.119444  -1
   3679.0000      5.055698   1
   3693.0000     -5.012169  -1
   3706.0000      4.992718   1
   3720.0000     -5.020863  -1
   3733.0000      5.069085   1
   3748.0000     -5.119930  -1
   3760.0000      5.207543   1
   3775.0000     -5.269349  -1
