# 月行九道 — Ecliptic trajectory (λ, β)
# DE440 1900–2100, 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   beta(deg)
    164.0000    274.491437      1.974160
    165.0000    288.231347      3.077920
    166.0000    302.188070      4.015989
    167.0000    316.306448      4.721808
    168.0000    330.526732      5.143943
    169.0000    344.790630      5.251553
    170.0000    359.045718      5.037020
    171.0000     13.247389      4.515910
    172.0000     27.358392      3.724877
    173.0000     41.346779      2.718129
    174.0000     55.183520      1.562758
    175.0000     68.840976      0.333082
    176.0000     82.293013     -0.895677
    177.0000     95.516885     -2.053653
    178.0000    108.496412     -3.081543
    179.0000    121.225572     -3.933844
    180.0000    133.711548     -4.579737
    181.0000    145.976543     -5.001895
    182.0000    158.058097     -5.193963
    183.0000    170.008004     -5.157640
    184.0000    181.890164     -4.900142
    185.0000    193.777672     -4.432580
    186.0000    205.749309     -3.769519
    187.0000    217.885416     -2.929790
    188.0000    230.262917     -1.938437
    189.0000    242.949281     -0.829443
    190.0000    255.995349      0.351490
    191.0000    269.427517      1.545268
    192.0000    283.240567      2.680376
    193.0000    297.393368      3.677795
    194.0000    311.810069      4.460056
    195.0000    326.388455      4.962680
    196.0000    341.014672      5.144601
    197.0000    355.580602      4.994094
    198.0000      9.998630      4.528655
    199.0000     24.209753      3.789841
    200.0000     38.183920      2.835726
    201.0000     51.914368      1.733435
    202.0000     65.409100      0.553107
    203.0000     78.682404     -0.636599
    204.0000     91.748445     -1.771910
    205.0000    104.617836     -2.796694
    206.0000    117.297298     -3.664715
    207.0000    129.791832     -4.341194
    208.0000    142.108476     -4.803386
    209.0000    154.260505     -5.040054
    210.0000    166.271129     -5.049968
    211.0000    178.175986     -4.839856
    212.0000    190.024194     -4.422316
    213.0000    201.877948     -3.814226
    214.0000    213.810803     -3.036016
    215.0000    225.904659     -2.112016
    216.0000    238.245260     -1.071934
    217.0000    250.915782      0.046766
    218.0000    263.988028      1.196142
    219.0000    277.511133      2.315839
    220.0000    291.498769      3.333660
    221.0000    305.917725      4.170520
    222.0000    320.682667      4.750644
    223.0000    335.662107      5.015401
    224.0000    350.697359      4.936185
    225.0000      5.630086      4.520867
    226.0000     20.329032      3.811046
    227.0000     34.706927      2.871949
    228.0000     48.724000      1.779876
    229.0000     62.380631      0.611635
    230.0000     75.704548     -0.562045
    231.0000     88.737497     -1.679502
    232.0000    101.524347     -2.688894
    233.0000    114.105797     -3.548098
    234.0000    126.514754     -4.224533
    235.0000    138.775938     -4.695156
    236.0000    150.908007     -4.946484
    237.0000    162.927359     -4.974368
    238.0000    174.852646     -4.783309
    239.0000    186.709147     -4.385313
    240.0000    198.532259     -3.798490
    241.0000    210.369689     -3.045741
    242.0000    222.282113     -2.153913
    243.0000    234.342205     -1.153710
    244.0000    246.631803     -0.080518
    245.0000    259.236824      1.023949
    246.0000    272.239262      2.109608
    247.0000    285.705710      3.116524
